Удовлетворённость;Пол;Заработок;Надежность работы;Выполняемые обязанности;Режим Работы;Условия Труда;Расстояние до работы;Профессиональная удовлетворенность;Моральное удовлетворение
Вполне удовлетворены;0;50.64;78.19;80.73;85.45;79.79;76.54;72.89;78.17
Не вполне удовлетворены;0;42.33;19.95;17.73;13.24;18.75;20.43;45039;18.91
Совсем не удовлетворены;0;июн.98;янв.73;янв.47;янв.27;янв.39;фев.92;03.июн;фев.53
Не определено;0;0.06;0.13;0.06;0.04;0.07;0.11;0.48;0.39
Вполне удовлетворены;1;52.99;76.28;80.17;83.7;75.43;74.85;72.05;77.36
Не вполне удовлетворены;1;41.04;21.52;18.18;14.78;22.71;21.78;23.72;19.54
Совсем не удовлетворены;1;май.91;02.июл;янв.59;янв.47;янв.77;мар.23;03.июл;фев.69
Не определено;1;0.06;0.14;0.06;0.05;0.08;0.14;0.53;0.41
Вполне удовлетворены;2;48.03;80.3;81.35;87.39;84.61;78.41;73.81;79.06
Не вполне удовлетворены;2;43.74;18.21;17.24;11,53;14.37;18.94;22.29;18.21
Совсем не удовлетворены;2;авг.16;янв.37;янв.34;01.апр;0.97;фев.57;мар.49;фев.36
Не определено;2;0.06;0.12;0.07;0.04;0.05;0.08;0.41;0.37
